SITE_ID,DATEON,DATEOFF,TSO4,TNO3,TNH4,Ca,Mg,Na,K,Cl,NSO4,NHNO3,WSO2,TOTAL_SO2,TOTAL_NO3,FLOW_VOLUME,VALID_HOURS,COMMENT_CODES,STD2LOCAL_CF,TEMP_SOURCE,QA_CODE,UPDATE_DATE
CON186,2003-06-17,2003-06-24,1.646,2.6535,1.074,0.1625,0.044,0.198,0.0609,NA,0.0387,3.4772,0.3286,0.3544,6.0754,36.2704,168,,1.19624115,sa,3,2004-02-02
CON186,2003-06-24,2003-07-01,1.0356,0.6297,0.4035,0.2331,0.0394,0.1455,0.0444,NA,0.0617,3.4496000000000002,0.4054,0.4466,4.0244,37.0314,167,,1.22720378,sa,3,2004-02-02
CON186,2003-07-01,2003-07-08,1.5335,1.257,0.4836,0.2185,0.0759,0.344,0.1697,NA,0.0847,4.5635,0.5119,0.5684,5.7479,37.9842,171,,1.22853048,sa,3,2004-02-02
CON186,2003-07-08,2003-07-15,1.7773,0.8323,0.6537,0.2894,0.0541,0.2134,0.085,NA,0.0535,4.3025,0.4154,0.451,5.0664,37.3987,166,,1.245875,sa,3,2004-02-02
CON186,2003-07-15,2003-07-22,2.1637,1.3187,0.7899,0.4331,0.08,0.2679,0.1382,NA,0.0903,4.3365,0.691,0.7512,5.5863,37.1449,166,,1.23760436,sa,3,2004-02-02
CON186,2003-07-22,2003-07-29,2.3961,1.8747,1.0025,0.3808,0.0721,0.2498,0.1085,NA,0.1058,5.5501,0.6316,0.7022,7.3366,37.4689,168,,1.23356288,sa,3,2004-02-02
CON186,2003-07-29,2003-08-05,1.689,0.9653,0.6495,0.2078,0.0383,0.1394,0.0512,NA,0.138,5.1346,0.4766,0.5686,6.0183,36.779,167,,1.21892623,sa,3,2004-02-02
CON186,2003-08-05,2003-08-12,0.9753,0.6864,0.3571,0.2145,0.036,0.1266,0.0401,0.0137,0.0706,3.7301,0.4152,0.4623,4.3572,36.5005,164,,1.23231341,sa,3,2004-02-02
CON186,2003-08-12,2003-08-19,1.7553,1.8385,0.6672,0.4243,0.0839,0.3391,0.141,0.0143,0.1641,5.1019,0.9263,1.0357,6.8593,37.7255,169,,1.23601042,sa,3,2004-02-02
CON186,2003-08-19,2003-08-26,1.6582,1.3791,0.5604,0.3728,0.0685,0.2213,0.1159,0.0139,0.1572,3.7667,0.5011,0.6059,5.0859,36.0328,163,,1.22535668,sa,3,2004-02-02
